cluster_id,fact_count,sample_count,percentage_of_samples,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,sample_event_types
41,4,4,2.105263,0.38539,0.106347,0.575,0.248747,artificial_intelligence_adoption; investment_in_ai; investment_in_artificial_intelligence
25,31,28,14.736842,0.330533,0.314512,-0.535484,0.328779,consumer_spending_decrease; economic_downturn; industry_slowdown; market_decline; market_plunge
36,28,23,12.105263,0.303776,0.293156,0.285714,0.447784,asset_divestiture; asset_sale; divestment; divesture; equity_raising
49,17,14,7.368421,0.293346,0.271574,-0.458824,0.42573,brexit_impact; export_restrictions; geopolitical_event; geopolitical_risk; geopolitical_tensions
5,14,13,6.842105,0.2648,0.213452,0.078571,0.534761,demand_supply_mismatch; production_challenges; production_milestone; production_miss; supply_agreement
43,18,10,5.263158,0.25701,0.153296,0.416667,0.567891,economic_stimulus; government_incentives; government_initiative; government_subsidy; legislative_support
45,13,8,4.210526,0.247758,0.298427,0.307692,0.666173,fund_launch; innovation_hub_opening; menu_launch; new_exchange_launch; promotion_launch
26,15,12,6.315789,0.236624,0.240849,0.06,0.471593,bankruptcy; bond_issuance; bond_issue; bond_sale; debt_analysis
21,16,14,7.368421,0.229354,0.25603,-0.33125,0.49714,advertising_pause; business_setback; company_response; contract_loss; customer_loss
13,29,13,6.842105,0.205536,0.26607,-0.531034,0.439517,counterfeiting_scheme; court_ruling; dispute_resolution; human_rights_hearing; intellectual_property_dispute
8,12,5,2.631579,0.193713,0.253859,-0.05,0.606218,flexible_work_arrangements; labor_agreement; labor_dispute; labor_negotiations; wage_increase
38,91,49,25.789474,0.190927,0.237448,0.471429,0.345786,bearish_outlook; economic_forecast; economic_outlook; investment_outlook; long_term_outlook
57,27,23,12.105263,0.18733,0.215192,0.474074,0.351286,business_restart; business_restart_plan; business_restructuring; business_resumption; business_strategy_shift
14,38,25,13.157895,0.185623,0.234293,0.268421,0.449623,acquisition_rumor; acquisition_rumors; company_breakup; company_controversy; divestiture
28,35,21,11.052632,0.180858,0.302914,0.571429,0.291373,analyst_rating; customer_loyalty_ranking; guru_rating; investment_rating; neutral_rating
56,3,1,0.526316,0.179311,0.033981,0.6,0.141421,banking_sector_stability; banking_system_support
55,96,40,21.052632,0.178715,0.242024,0.244792,0.418547,regulatory_action; regulatory_announcement; regulatory_approval; regulatory_call; regulatory_challenge
31,22,19,10.0,0.17402,0.225149,0.440909,0.524542,after_hours_trading; bullish_trade; insider_buying; oversold_condition; pre_market_trading
20,34,30,15.789474,0.170413,0.140621,0.564706,0.251913,adoption_expansion; benefit_expansion; business_expansion; business_model_expansion; delivery_expansion
19,20,14,7.368421,0.149685,0.222818,0.67,0.205183,business_recovery; economic_recovery; market_rebound; market_recovery; recovery
7,14,14,7.368421,0.14628,0.110383,0.507143,0.347366,automation_adoption; digital_innovation; digital_transformation; disruption_and_innovation; menu_innovation
29,205,74,38.947368,0.14312,0.222976,0.709024,0.168939,brand_performance; brand_recognition; counterfeit_product_removal; product_adoption; product_demand
