cluster_id,fact_count,sample_count,percentage_of_samples,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,sample_event_types
46,4,4,2.105263,0.585778,0.421168,0.025,0.775806,profitability_outlook; reduced_profit_forecast; revenue_growth_outlook; revenue_impact
51,6,4,2.105263,0.567964,0.432914,0.166667,0.235702,competition; competition_risk; competitive_analysis; competitive_strategy; gaming_market_competition
1,10,7,3.684211,0.505205,0.334862,0.33,0.275862,comparison; industry_comparison; market_comparison; peer_comparison; quality_score_comparison
36,4,4,2.105263,0.491208,0.330531,-0.225,0.294746,asset_divestiture; shareholder_update; stock_sales
45,3,2,1.052632,0.45672,0.110607,0.6,0.141421,new_exchange_launch; promotion_launch
22,5,4,2.105263,0.414286,0.300192,0.46,0.300666,executive_change; executive_commentary; executive_movement
29,7,4,2.105263,0.358569,0.123967,0.657143,0.129363,product_launch
7,1,1,0.526316,0.343622,0.0,0.7,0.0,technology_transition
37,4,4,2.105263,0.340197,0.256456,0.125,0.553963,illicit_funds_scandal; other
26,6,3,1.578947,0.313071,0.111064,-0.1,0.412311,bond_issuance; bond_issue; bond_sale; financial_support; loan_deferrals
43,8,3,1.578947,0.293713,0.154182,0.5,0.466369,economic_stimulus; government_subsidy; legislative_support; tax_credit_extension; tax_legislation
34,45,16,8.421053,0.273713,0.231749,0.377778,0.521489,industry_challenges; industry_concerns; industry_development; industry_group_performance; industry_outlook
16,1,1,0.526316,0.26708,0.0,0.5,0.0,financial_performance
15,5,4,2.105263,0.263753,0.17954,0.4,0.442719,acquisition; acquisition_approval; portfolio_acquisition; potential_acquisitions
47,10,6,3.157895,0.252807,0.166707,0.39,0.410974,executive_expectations_and_valuation; undervaluation; valuation_analysis; valuation_comparison; valuation_update
3,2,2,1.052632,0.2525,0.112902,0.65,0.15,sales_growth; sales_performance
20,3,3,1.578947,0.21674,0.205311,0.633333,0.124722,infrastructure_build_out; investment_expansion; market_expansion
40,9,7,3.684211,0.216205,0.207358,0.333333,0.48074,guidance_revision; investment_portfolio_update; operational_update; ownership_update; portfolio_rebalancing
54,4,2,1.052632,0.212557,0.040036,-0.45,0.55,credit_card_promotion; credit_rating_change
13,16,4,2.105263,0.189016,0.306839,-0.6375,0.337037,dispute_resolution; lawsuit; money_laundering_allegations; patent_infringement_lawsuit
53,128,18,9.473684,0.154802,0.252607,-0.123437,0.720296,market_analysis; market_commentary; market_fluctuation; market_impact; market_movement
17,51,13,6.842105,0.14013,0.223942,0.401961,0.315912,earnings_announcement; earnings_report; upcoming_earnings
25,6,5,2.631579,0.137709,0.083225,-0.666667,0.094281,housing_start_decline; industry_slowdown; market_decline; sector_downgrade_warning
55,41,7,3.684211,0.12389,0.262046,0.214634,0.193253,regulatory_approval; regulatory_challenge; regulatory_change; regulatory_comparison; regulatory_compliance
49,2,2,1.052632,0.120102,0.120102,-0.5,0.0,brexit_impact; trade_restrictions
42,1,1,0.526316,0.10803,0.0,-0.2,0.0,partnership_loss
6,55,5,2.631579,0.105667,0.287182,0.727273,0.216127,dividend_announcement; dividend_growth; dividend_increase; dividend_update
5,2,2,1.052632,0.101842,0.000226,0.2,0.0,supply_chain_issue
31,4,3,1.578947,0.100144,0.031255,0.3,0.587367,pre_market_trading; sell_signal; unusual_trading_volume
24,4,3,1.578947,0.094054,0.045414,-0.05,0.708872,inflation_slowdown; interest_rate_impact; interest_rate_outlook
38,39,6,3.157895,0.08406,0.207885,0.423077,0.229226,investment_outlook; market_outlook
23,3,3,1.578947,0.080203,0.020209,0.266667,0.758654,business_failure; business_update; market_opportunity
30,4,2,1.052632,0.076589,0.011686,0.8,0.070711,vaccine_development; vaccine_speculation; vaccine_trial_results
0,1,1,0.526316,0.07471,0.0,0.8,0.0,industry_growth
33,3,3,1.578947,0.072189,0.00373,0.666667,0.094281,sector_rotation; stress_test_results; technical_breakout
19,3,3,1.578947,0.06738,0.008242,0.8,0.0,recovery; recovery_progress; stock_recovery
14,3,1,0.526316,0.067068,0.000726,0.6,0.08165,merger; merger_approval; merger_completion
58,2,1,0.526316,0.062991,0.000239,0.85,0.05,sales_report
21,1,1,0.526316,0.059114,0.0,0.9,0.0,operations_resumption
57,3,1,0.526316,0.058495,9.6e-05,0.833333,0.04714,business_restart; business_restart_plan; business_resumption
10,180,12,6.315789,0.046464,0.174967,-0.099444,0.290306,analyst_comment; analyst_expectations; analyst_insight; analyst_recommendation; analyst_target_price
32,218,13,6.842105,0.042269,0.152796,-0.36055,0.398165,growth_stock_analysis; stock_comparison; stock_performance; stock_pick; stock_price_increase
2,368,9,4.736842,0.034966,0.1607,0.328533,0.101221,partnership
50,71,4,2.105263,0.027675,0.143979,0.515493,0.076265,award_recognition; conference_participation; diversity_initiative; social_responsibility_recognition
59,377,10,5.263158,0.024259,0.138255,-0.182493,0.117042,etf_analysis; etf_holdings; etf_inclusion; etf_inflow; etf_launch
35,21,1,0.526316,0.023886,0.106823,0.6,0.0,licensing_agreement
9,131,9,4.736842,0.022884,0.114764,-0.738168,0.300498,earnings_disappointment; earnings_estimate_revisions; earnings_expectation; earnings_forecast; earnings_growth
48,275,4,2.105263,0.020526,0.128659,0.532364,0.059144,ipo_announcement; ipo_funding; ipo_investment; ipo_preparation; ipo_underwriting
4,1222,7,3.684211,0.0075,0.068196,0.773404,0.089852,institutional_investment; investment; investment_advice; investment_and_outlook; investment_holdings
39,711,1,0.526316,0.001406,0.037477,0.1,0.0,price_target
