cluster_id,fact_count,sample_count,percentage_of_samples,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,sample_event_types
41,5,4,2.105263,0.368011,0.102495,0.62,0.24,ai_revolution; artificial_intelligence_adoption; investment_in_ai; investment_in_artificial_intelligence
25,26,24,12.631579,0.359195,0.3308,-0.507692,0.350739,consumer_spending_decrease; economic_downturn; market_decline; market_plunge; pc_shipments_decline
49,14,11,5.789474,0.320281,0.282439,-0.428571,0.458925,export_restrictions; geopolitical_event; geopolitical_risk; geopolitical_tensions; tariff_impact
36,21,16,8.421053,0.295003,0.276655,0.333333,0.423515,asset_sale; divestment; divesture; equity_raising; institutional_ownership_change
5,12,10,5.263158,0.290727,0.225187,0.15,0.597913,demand_supply_mismatch; production_challenges; production_milestone; production_miss; supplier_change
38,49,39,20.526316,0.285302,0.22985,0.538776,0.372288,economic_forecast; economic_outlook; investment_outlook; long_term_outlook; market_cap_projection
21,12,10,5.263158,0.277631,0.274924,-0.366667,0.422953,advertising_pause; company_response; contract_loss; customer_loss; outage_impact_on_clients
55,42,27,14.210526,0.268621,0.24111,0.330952,0.471314,regulatory_action; regulatory_announcement; regulatory_approval; regulatory_call; regulatory_challenges
27,17,8,4.210526,0.264651,0.308098,0.558824,0.377389,index_composition; index_construction; index_inclusion; index_movement; market_index_movement
43,10,7,3.684211,0.226219,0.143984,0.35,0.629682,government_incentives; government_initiative; legislative_support; meeting_with_government; tax_credit_extension
13,12,9,4.736842,0.212886,0.185742,-0.191667,0.509016,antitrust_investigation_closure; court_ruling; human_rights_hearing; lawsuit; lawsuit_settlement
26,8,8,4.210526,0.21089,0.306621,0.1625,0.409077,bankruptcy; debt_analysis; debt_offering; debt_origination_record; debt_refinancing
8,11,4,2.105263,0.207513,0.261816,-0.118182,0.587473,flexible_work_arrangements; labor_agreement; labor_contract_agreement; labor_dispute; labor_negotiations
57,22,21,11.052632,0.207192,0.228343,0.436364,0.275591,business_restructuring; business_strategy_shift; business_turnaround; consolidation; corporate_restructuring
45,9,5,2.631579,0.199184,0.323263,0.155556,0.745522,fund_launch; innovation_hub_opening; new_exchange_launch; spin_off_announcement
14,35,24,12.631579,0.197072,0.242049,0.28,0.443879,acquisition_rumor; acquisition_rumors; company_breakup; company_controversy; divestiture
56,3,1,0.526316,0.188489,0.033061,0.6,0.141421,banking_sector_stability; banking_system_support
31,18,16,8.421053,0.187833,0.246046,0.455556,0.492412,after_hours_trading; bullish_trade; insider_buying; oversold_condition; record_trading_volume
19,14,9,4.736842,0.186555,0.258634,0.628571,0.218529,business_recovery; economic_recovery; market_rebound; market_recovery; recovery_potential
28,34,20,10.526316,0.185129,0.308299,0.567647,0.295775,analyst_rating; customer_loyalty_ranking; guru_rating; investment_rating; neutral_rating
12,4,4,2.105263,0.176336,0.100611,0.75,0.086603,green_bond_issuance; renewable_energy_initiative; renewable_energy_trend; sustainability_initiative
47,42,32,16.842105,0.175537,0.174299,0.490476,0.355775,market_valuation; stock_valuation; undervaluation; undervaluation_analysis; undervaluation_opportunity
20,30,25,13.157895,0.16527,0.1348,0.546667,0.253947,adoption_expansion; business_expansion; business_model_expansion; delivery_expansion; expansion
39,10,9,4.736842,0.158092,0.28162,0.17,0.629365,labor_cost_increase; price_drop; price_target; price_target_increase; price_target_raise
0,78,53,27.894737,0.148329,0.20583,0.776282,0.122664,business_growth; cloud_services_growth; customer_growth; growth_acceleration; growth_and_dividend
29,174,63,33.157895,0.143408,0.220834,0.723276,0.171089,brand_performance; brand_recognition; product_adoption; product_demand; product_description
11,10,8,4.210526,0.142201,0.155467,0.49,0.49689,auction; bond_offering; contract_ratification; deal_cancellation; new_deals
30,9,5,2.631579,0.138063,0.108646,0.177778,0.67128,covid_19_impact; health_crisis_impact; pandemic_growth; pandemic_impact; pandemic_recovery
18,16,12,6.315789,0.12626,0.128258,0.45625,0.428615,big_data_focus; cloud_competition; cloud_computing_strategy; cryptocurrency_adoption; cryptocurrency_backing
3,19,12,6.315789,0.125506,0.120903,0.563158,0.454464,demand_surge; holiday_sales; holiday_sales_report; holiday_season_sales; new_purchase
7,11,11,5.789474,0.121814,0.094653,0.463636,0.372395,automation_adoption; digital_technology_success; digital_transformation; disruption_and_innovation; menu_innovation
9,158,78,41.052632,0.1162,0.150293,0.588924,0.461856,acquisitions_and_earnings_growth; earnings_analysis; earnings_and_demand_update; earnings_and_financials; earnings_and_rating_upgrade
