cluster_id,fact_count,sample_count,percentage_of_samples,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,sample_event_types
41,4,4,2.105263,0.383996,0.113364,0.575,0.248747,artificial_intelligence_adoption; investment_in_ai; investment_in_artificial_intelligence
25,31,28,14.736842,0.328066,0.315565,-0.53871,0.329885,consumer_spending_decrease; economic_downturn; industry_slowdown; market_decline; market_plunge
49,17,14,7.368421,0.287926,0.268755,-0.458824,0.42573,brexit_impact; export_restrictions; geopolitical_event; geopolitical_risk; geopolitical_tensions
36,33,26,13.684211,0.270237,0.280431,0.251515,0.468473,asset_divestiture; asset_sale; buyout_interest; divestment; divesture
45,12,7,3.684211,0.262271,0.307291,0.266667,0.677413,fund_launch; innovation_hub_opening; new_exchange_launch; promotion_launch; spin_off_announcement
43,18,10,5.263158,0.260081,0.15515,0.416667,0.567891,economic_stimulus; government_incentives; government_initiative; government_subsidy; legislative_support
5,15,13,6.842105,0.254815,0.21684,0.126667,0.547073,demand_supply_mismatch; production_challenges; production_milestone; production_miss; supplier_change
21,15,13,6.842105,0.236058,0.258906,-0.3,0.497996,advertising_pause; company_response; contract_loss; customer_loss; operations_resumption
26,17,14,7.368421,0.22333,0.23637,0.064706,0.460104,bankruptcy; bond_issuance; bond_issue; bond_sale; debt_analysis
13,30,14,7.368421,0.211891,0.26099,-0.436667,0.472922,antitrust_investigation_closure; counterfeiting_scheme; court_ruling; dispute_resolution; human_rights_hearing
38,88,46,24.210526,0.194905,0.241799,0.481818,0.323087,economic_forecast; economic_outlook; investment_outlook; long_term_outlook; market_cap_projection
55,94,39,20.526316,0.18289,0.245722,0.267021,0.412926,regulatory_action; regulatory_announcement; regulatory_approval; regulatory_call; regulatory_challenge
8,13,5,2.631579,0.182836,0.245203,0.015385,0.624926,flexible_work_arrangements; labor_agreement; labor_contract_agreement; labor_dispute; labor_negotiations
57,28,23,12.105263,0.180221,0.207204,0.485714,0.350219,business_restart; business_restart_plan; business_restructuring; business_resumption; business_strategy_shift
31,21,19,10.0,0.178823,0.230287,0.442857,0.539463,after_hours_trading; bullish_trade; insider_buying; oversold_condition; pre_market_trading
14,40,24,12.631579,0.17812,0.22983,0.2975,0.456337,acquisition_rumor; acquisition_rumors; company_breakup; company_controversy; divestiture
28,37,22,11.578947,0.176635,0.298514,0.589189,0.292966,analyst_rating; customer_loyalty_ranking; guru_rating; investment_rating; neutral_rating
20,37,31,16.315789,0.161543,0.139129,0.586486,0.249499,adoption_expansion; benefit_expansion; business_expansion; business_model_expansion; delivery_expansion
7,14,14,7.368421,0.151461,0.111656,0.5,0.340168,automation_adoption; digital_technology_success; digital_transformation; disruption_and_innovation; menu_innovation
12,7,7,3.684211,0.150623,0.089612,0.457143,0.483609,climate_risk_disclosure; green_bond_issuance; renewable_energy_initiative; renewable_energy_trend; sustainability_efforts
19,20,15,7.894737,0.149152,0.222925,0.685,0.203162,business_recovery; economic_recovery; market_rebound; market_recovery; recovery
29,205,74,38.947368,0.14106,0.221833,0.710488,0.171577,brand_performance; brand_recognition; counterfeit_product_removal; product_adoption; product_demand
23,76,48,25.263158,0.138018,0.182592,0.392105,0.42357,businessSuspension; business_delegation; business_failure; business_model; business_model_analysis
3,24,15,7.894737,0.126697,0.114162,0.583333,0.410961,demand_surge; holiday_sales; holiday_sales_report; holiday_season_sales; new_purchase
11,12,10,5.263158,0.124216,0.143139,0.533333,0.46428,auction; bond_offering; contract_award; contract_ratification; contract_win
18,16,12,6.315789,0.120816,0.121065,0.45625,0.428615,big_data_focus; cloud_competition; cloud_computing_strategy; cryptocurrency_adoption; cryptocurrency_backing
33,154,42,22.105263,0.11583,0.256222,0.539286,0.452517,added_position; added_positions; blue_chip_classification; breakout; cloud_transition
56,8,2,1.052632,0.114808,0.059115,0.5875,0.231503,bank_performance; banking_sector_stability; banking_sector_stabilization; banking_sector_update; banking_system_support
27,39,8,4.210526,0.114781,0.242263,0.3,0.337411,index_composition; index_construction; index_inclusion; index_movement; market_index_movement
16,92,19,10.0,0.114001,0.27187,0.432609,0.351738,capital_increase_approval; capital_plan_announcement; capital_plan_approval; capital_raise_consideration; cash_reserve
