cluster_id,fact_count,sample_count,percentage_of_samples,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,sample_event_types
1,11,8,4.210526,0.461729,0.345296,0.345455,0.267526,comparison; industry_comparison; market_comparison; operating_margin_comparison; peer_comparison
45,3,2,1.052632,0.450497,0.128143,0.6,0.141421,new_exchange_launch; promotion_launch
22,5,4,2.105263,0.42164,0.297847,0.46,0.300666,executive_change; executive_commentary; executive_movement
46,6,6,3.157895,0.412288,0.422246,0.3,0.743864,profitability_outlook; reduced_profit_forecast; revenue_estimate; revenue_growth_outlook; revenue_guidance_and_dividend_increase
36,6,4,2.105263,0.369334,0.325811,-0.25,0.236291,asset_divestiture; institutional_ownership_change; shareholder_update; stock_sales
7,1,1,0.526316,0.338924,0.0,0.7,0.0,technology_transition
26,6,3,1.578947,0.313784,0.113882,-0.1,0.412311,bond_issuance; bond_issue; bond_sale; financial_support; loan_deferrals
51,5,4,2.105263,0.29972,0.351888,0.12,0.231517,competition_risk; competitive_analysis; competitive_strategy; market_competition
47,8,5,2.631579,0.298995,0.155031,0.3125,0.422604,executive_expectations_and_valuation; undervaluation; valuation_comparison
29,11,6,3.157895,0.266688,0.170094,0.545455,0.238799,counterfeit_product_removal; product_development; product_launch
43,10,4,2.105263,0.254134,0.158479,0.52,0.421426,economic_stimulus; government_incentives; government_initiative; government_subsidy; legislative_support
34,62,18,9.473684,0.226692,0.248859,0.454839,0.451763,industry_challenges; industry_concerns; industry_development; industry_group_performance; industry_outlook
0,4,3,1.578947,0.211737,0.133563,0.525,0.593191,growth_challenges; growth_outlook; industry_growth; market_growth
54,4,2,1.052632,0.211198,0.04635,-0.45,0.55,credit_card_promotion; credit_rating_change
3,3,3,1.578947,0.185444,0.089966,0.6,0.141421,sales Surge; sales_growth; sales_performance
58,3,2,1.052632,0.184746,0.168821,0.4,0.637704,economic_data_release; sales_report
20,4,4,2.105263,0.176647,0.180128,0.675,0.129904,infrastructure_build_out; investment_expansion; market_expansion; nft_market_expansion
