cluster_id,fact_count,sample_count,percentage_of_samples,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,sample_event_types
41,4,4,2.105263,0.371065,0.10516,0.575,0.248747,artificial_intelligence_adoption; investment_in_ai; investment_in_artificial_intelligence
25,26,24,12.631579,0.36317,0.330976,-0.507692,0.350739,consumer_spending_decrease; economic_downturn; market_decline; market_plunge; pc_shipments_decline
55,43,29,15.263158,0.307936,0.258618,0.15814,0.498478,regulatory_action; regulatory_announcement; regulatory_approval; regulatory_call; regulatory_challenges
49,15,11,5.789474,0.298974,0.275847,-0.373333,0.489172,brexit_preparations; export_restrictions; geopolitical_event; geopolitical_risk; geopolitical_tensions
5,13,11,5.789474,0.280929,0.223087,0.115385,0.586838,demand_supply_mismatch; production_challenges; production_milestone; production_miss; supplier_change
38,54,43,22.631579,0.26817,0.223328,0.542593,0.361761,economic_forecast; economic_outlook; investment_outlook; long_term_outlook; market_cap_projection
21,14,12,6.315789,0.247248,0.26588,-0.407143,0.407894,advertising_pause; business_setback; company_response; contract_loss; customer_loss
13,15,10,5.263158,0.246097,0.265078,-0.266667,0.485341,antitrust_investigation_closure; court_ruling; human_rights_hearing; lawsuit; lawsuit_settlement
36,25,19,10.0,0.246086,0.266319,0.412,0.41019,asset_sale; buyout_interest; divestment; divesture; equity_raising
43,9,7,3.684211,0.224147,0.147425,0.655556,0.275322,government_incentive; government_incentives; government_initiative; legislative_support; meeting_with_government
45,8,4,2.105263,0.216374,0.340205,0.1,0.772981,innovation_hub_opening; new_exchange_launch; spin_off_announcement
26,8,8,4.210526,0.210428,0.307183,0.2375,0.460808,bankruptcy; debt_analysis; debt_offering; debt_origination_record; debt_refinancing
57,23,21,11.052632,0.207857,0.219349,0.395652,0.33032,business_restructuring; business_strategy_shift; consolidation; corporate_restructuring; corporate_structure_change
14,33,21,11.052632,0.200422,0.248222,0.254545,0.481847,acquisition_rumor; acquisition_rumors; company_breakup; company_controversy; divestiture
8,12,5,2.631579,0.196493,0.25354,-0.05,0.606218,flexible_work_arrangements; labor_agreement; labor_dispute; labor_negotiations; wage_increase
31,18,16,8.421053,0.191113,0.24807,0.466667,0.502217,after_hours_trading; bullish_trade; insider_buying; oversold_condition; premarket_trading
56,3,1,0.526316,0.181875,0.035113,0.6,0.141421,banking_sector_stability; banking_system_support
28,38,23,12.105263,0.173314,0.293647,0.597368,0.293335,analyst_rating; customer_loyalty_ranking; guru_rating; investment_rating; neutral_rating
