cluster_id,fact_count,sample_count,percentage_of_samples,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,sample_event_types
41,3,3,1.578947,0.402153,0.109187,0.7,0.141421,artificial_intelligence_adoption; investment_in_artificial_intelligence
25,32,29,15.263158,0.317146,0.314459,-0.5375,0.32476,consumer_spending_decrease; economic_downturn; housing_start_decline; industry_slowdown; market_decline
36,28,22,11.578947,0.29372,0.287352,0.335714,0.443375,asset_divestiture; asset_sale; divestment; divesture; equity_raising
49,17,14,7.368421,0.28535,0.26475,-0.458824,0.42573,brexit_impact; export_restrictions; geopolitical_event; geopolitical_risk; geopolitical_tensions
45,11,6,3.157895,0.279974,0.314159,0.236364,0.699705,innovation_hub_opening; new_exchange_launch; promotion_launch; spin_off_announcement
43,16,9,4.736842,0.267743,0.148149,0.56875,0.393254,economic_stimulus; government_incentives; government_initiative; government_subsidy; legislative_support
21,13,11,5.789474,0.256852,0.274263,-0.276923,0.535155,advertising_pause; business_setback; company_response; contract_loss; customer_loss
5,15,13,6.842105,0.255681,0.214398,0.126667,0.547073,demand_supply_mismatch; production_challenges; production_milestone; production_miss; supplier_change
35,2,2,1.052632,0.24976,0.24976,0.5,0.1,licensing_agreement
13,27,14,7.368421,0.221433,0.271426,-0.459259,0.489338,antitrust_investigation_closure; counterfeiting_scheme; court_ruling; dispute_resolution; human_rights_hearing
26,17,14,7.368421,0.220408,0.234823,0.076471,0.445275,bankruptcy; bond_issuance; bond_issue; bond_sale; debt_analysis
8,11,5,2.631579,0.203787,0.261592,-0.118182,0.587473,flexible_work_arrangements; labor_agreement; labor_dispute; labor_negotiations; wage_increase
38,94,49,25.789474,0.191484,0.234555,0.501064,0.321315,economic_forecast; economic_outlook; investment_outlook; long_term_outlook; market_cap_projection
14,37,24,12.631579,0.187832,0.237201,0.327027,0.425948,acquisition_rumor; company_breakup; company_controversy; divestiture; merger
57,28,24,12.631579,0.180963,0.209259,0.510714,0.289506,business_restart; business_restart_plan; business_restructuring; business_resumption; business_strategy_shift
31,21,18,9.473684,0.177467,0.229789,0.42381,0.526357,after_hours_trading; bullish_trade; insider_buying; oversold_condition; pre_market_trading
28,40,24,12.631579,0.166611,0.285818,0.5975,0.285909,analyst_rating; brand_loyalty_ranking; customer_loyalty_ranking; guru_rating; investment_rating
55,106,36,18.947368,0.159125,0.242139,0.150943,0.40428,regulatory_action; regulatory_announcement; regulatory_approval; regulatory_call; regulatory_challenge
20,38,32,16.842105,0.15856,0.139261,0.578947,0.254598,adoption_expansion; benefit_expansion; business_expansion; business_model_expansion; delivery_expansion
56,4,2,1.052632,0.153423,0.053314,0.65,0.15,bank_performance; banking_sector_stability; banking_system_support
19,20,15,7.894737,0.150424,0.223039,0.685,0.203162,business_recovery; economic_recovery; market_rebound; market_recovery; recovery
7,14,14,7.368421,0.147195,0.105586,0.507143,0.347366,automation_adoption; digital_innovation; digital_transformation; disruption_and_innovation; menu_innovation
12,7,6,3.157895,0.145788,0.08737,0.485714,0.496929,climate_risk_disclosure; green_bond_issuance; renewable_energy_commitment; renewable_energy_initiative; sustainability_efforts
29,200,71,37.368421,0.140149,0.222674,0.71375,0.168221,brand_performance; brand_recognition; counterfeit_product_removal; product_adoption; product_demand
23,75,47,24.736842,0.13951,0.183361,0.378667,0.421519,businessSuspension; business_delegation; business_failure; business_model; business_model_analysis
11,11,9,4.736842,0.134779,0.150421,0.518182,0.482075,auction; bond_offering; contract_ratification; contract_win; deal_cancellation
3,24,15,7.894737,0.125949,0.117593,0.583333,0.410961,demand_surge; holiday_sales; holiday_sales_report; holiday_season_sales; new_purchase
30,13,7,3.684211,0.119323,0.09901,0.369231,0.629267,covid_19_impact; health_crisis_impact; pandemic_growth; pandemic_impact; pandemic_recovery
18,16,13,6.842105,0.118976,0.116141,0.475,0.436606,big_data_focus; cloud_adoption; cloud_competition; cloud_computing_strategy; cryptocurrency_adoption
33,152,41,21.578947,0.115206,0.255821,0.526645,0.461153,added_position; added_positions; blue_chip_classification; breakout; cloud_transition
0,107,59,31.052632,0.114452,0.185126,0.768224,0.16326,business_growth; cloud_services_growth; customer_growth; expansion_and_growth; growth_acceleration
27,40,9,4.736842,0.11434,0.238765,0.3,0.333167,index_composition; index_constituents; index_construction; index_inclusion; index_movement
47,106,38,20.0,0.110338,0.180067,0.272642,0.330675,executive_expectations_and_valuation; industry_valuation; market_valuation; stock_valuation; undervaluation
16,91,18,9.473684,0.108981,0.270251,0.435165,0.352814,capital_increase_approval; capital_plan_announcement; capital_plan_approval; capital_raise_consideration; cash_reserve
42,100,36,18.947368,0.105092,0.211172,-0.133,0.526698,investment_and_partnership; partnership_acquisition; partnership_and_certifications; partnership_and_competition; partnership_and_expansion
24,94,23,12.105263,0.099413,0.219088,0.155319,0.311352,currency_headwinds; economic_commentary; economic_policy_impact; federal_reserve_announcement; federal_reserve_intervention
1,575,90,47.368421,0.096936,0.231744,0.338783,0.230105,comparable_analysis; comparative_analysis; comparison; competitive_benchmarking; competitive_comparison
46,68,22,11.578947,0.09119,0.230627,0.614706,0.31542,profit_margin_increase; profitability_outlook; reduced_profit_forecast; revenue_forecast; revenue_growth
51,679,88,46.315789,0.086994,0.18041,-0.2757,0.396578,competition; competition_analysis; competition_and_privacy_changes; competition_expansion; competition_intensification
6,579,69,36.315789,0.076808,0.211397,0.397927,0.224561,business_update_and_dividend_growth; dividend_adjustment; dividend_analysis; dividend_announcement; dividend_announcement_and_share_repurchase
9,293,88,46.315789,0.073414,0.14152,-0.006997,0.769952,earnings_analysis; earnings_and_demand_update; earnings_and_financials; earnings_and_rating_upgrade; earnings_beat
58,34,13,6.842105,0.070103,0.180448,0.45,0.368822,catastrophe_loss_report; customer_satisfaction_report; economic_data_release; fee_income_report; industry_loss_report
59,1610,94,49.473684,0.066483,0.218649,-0.004938,0.314764,etf_analysis; etf_comparison; etf_composition; etf_description; etf_focus
2,1589,122,64.210526,0.065911,0.186413,0.57961,0.202407,blockchain_partnership; collaboration; industry_partnership; investment_partnership; partnership
40,307,42,22.105263,0.057702,0.187118,-0.229967,0.440995,asset_management_update; asset_under_management_update; assets_under_management_update; brokerage_update; brokerage_upgrade
15,520,70,36.842105,0.056808,0.159564,0.557308,0.205465,acquisition; acquisition_analysis; acquisition_and_dividend; acquisition_and_expansion; acquisition_and_partnership
17,1410,152,80.0,0.05546,0.15134,0.372801,0.392536,acquisition_and_earnings_announcement; earnings_and_sales_report; earnings_announcement; earnings_announcement_and_acquisition; earnings_announcement_and_deal_uncertainty
32,874,105,55.263158,0.055297,0.168732,0.389817,0.519681,cyclical_stock_analysis; financial_analysis; former_penny_stocks; growth_stock_analysis; growth_stock_evaluation
22,282,35,18.421053,0.053458,0.170513,0.498227,0.265839,ceo_appointment; executive_appointment; executive_background; executive_change; executive_commentary
37,416,54,28.421053,0.051458,0.177681,0.424038,0.301358,competitive_jab; congressional_hearing; crisis_management; criticism; election_impact
10,1772,89,46.842105,0.046291,0.181681,0.247799,0.386891,analyst_comment; analyst_commentary; analyst_coverage; analyst_coverage_initiation; analyst_downgrade
34,2546,125,65.789474,0.042185,0.152259,0.236999,0.431031,industrial_policy; industry_analysis; industry_challenges; industry_concerns; industry_context
53,4159,154,81.052632,0.038873,0.149588,0.530505,0.429375,cryptocurrency_market_fluctuation; cryptocurrency_market_movement; cryptocurrency_price_movement; market_analysis; market_commentary
54,89,5,2.631579,0.037324,0.156413,0.14382,0.227322,credit_agreement; credit_card_promotion; credit_card_switch; credit_quality_concerns; credit_rating_change
48,332,17,8.947368,0.03186,0.150096,0.438855,0.254648,initial_public_offering; ipo_announcement; ipo_funding; ipo_impact; ipo_investment
4,3353,103,54.210526,0.026342,0.127585,0.340188,0.47917,activist_investor; alternative_investment; cryptocurrency_investment; esg_investing; hedge_fund_positioning
44,13,11,5.789474,0.025988,0.032908,0.430769,0.126398,high_options_trading_volume; options_contract_availability; options_contract_update; options_trading; options_trading_activity
52,454,10,5.263158,0.013978,0.102558,0.395595,0.332363,catastrophe_loss_estimate; data_security_concerns; health_and_safety_measures; insurance_claims_improvement; natural_disaster
50,1616,25,13.157895,0.006229,0.060831,0.877475,0.09628,adoption; award_recognition; conference_discussion; conference_participation; customer_win
39,720,9,4.736842,0.003466,0.053064,0.1,0.069921,labor_cost_increase; price_drop; price_target; price_target_increase; volatility_increase
